logFC	logCPM	F	PValue	FDR
Zm00001eb284390	-1.55323883371064	7.21824370940525	655.413945202409	2.77157333971881e-21	3.34396348596508e-19
Zm00001eb355770	-1.97946345503399	4.92355957841171	651.649978350385	2.99980010734009e-21	3.60192344619321e-19
Zm00001eb378720	-1.46268999593493	5.9947797625484	650.208505239492	3.09245772906923e-21	3.69541300399541e-19
Zm00001eb348520	-2.22410698775327	4.47717390534192	646.672132187031	3.33299670948551e-21	3.96388537235241e-19
Zm00001eb147110	-1.95262964730098	4.60045899935234	645.523049175521	3.41540366084788e-21	4.04264011515051e-19
Zm00001eb162950	-1.59350188613038	5.25104848451887	643.378829305034	3.57506368919156e-21	4.2116611149792e-19
Zm00001eb392400	1.50893417875657	6.26931732658973	628.89628425362	4.88633400830746e-21	5.72939867875488e-19
Zm00001eb249600	-1.74121342972783	5.3646719260517	625.065979879524	5.31340865115209e-21	6.20104584404315e-19
Zm00001eb177120	-1.96025563877059	4.52555394837101	622.205951566173	5.65828274175362e-21	6.57281913838589e-19
Zm00001eb359290	-1.75153097696941	5.06877404162222	620.815635207964	5.83451444282449e-21	6.74615732451581e-19
Zm00001eb295610	-1.93266532574611	4.8006515514812	620.257268814849	5.90693576026437e-21	6.79842030472823e-19
Zm00001eb322690	-1.28220408046839	6.27193677724187	618.941131797599	6.08147436367857e-21	6.93746630689036e-19
Zm00001eb163240	2.26739560425539	4.14055505026105	618.927551643023	6.08330378862458e-21	6.93746630689036e-19
Zm00001eb168620	-3.17204871014836	3.55316256357363	616.258131921432	6.45460229627354e-21	7.3274405613378e-19
Zm00001eb107560	-1.70877657093139	4.98016153385004	615.64659723713	6.54303074652264e-21	7.3942168730499e-19
Zm00001eb176110	-2.17061194824836	4.53638684922382	615.438881211809	6.57336081780052e-21	7.39503092002558e-19
Zm00001eb257130	2.64935005656146	6.3649185358551	614.817966856643	6.66492513125255e-21	7.46441727143643e-19
Zm00001eb416090	-1.10664137685152	7.48445411343363	610.017052918135	7.420695591435e-21	8.27374430339683e-19
Zm00001eb254390	-1.27822104725904	6.36800563660686	609.063480620924	7.58144608705046e-21	8.41540515662601e-19
Zm00001eb075940	-1.25631247635568	6.18492682035837	606.442878163653	8.04271480954192e-21	8.88791160921723e-19
Zm00001eb104160	-2.15110453334708	4.30758734401348	604.780704938606	8.35078162216969e-21	9.18769916359859e-19
Zm00001eb377390	1.61350239375879	5.50692226305687	604.500860099161	8.40387811695082e-21	9.20556385837047e-19
Zm00001eb361880	1.26050423704834	6.27974871969028	602.298756954775	8.83451593121313e-21	9.63502337912873e-19
Zm00001eb200830	-1.83891808263799	4.7972358211612	601.12863701286	9.07289453107015e-21	9.85198003971639e-19
Zm00001eb045670	-2.1985044408853	4.38122135045464	600.265845492225	9.25306780111191e-21	1.00041284992541e-18
Zm00001eb055490	-1.16352174843192	6.54447628660794	599.456380183091	9.42558862673032e-21	1.01467274117496e-18
Zm00001eb317300	-1.40401529785565	5.94343397522564	594.634566369437	1.05272241302037e-20	1.12840095558728e-18
Zm00001eb419190	-1.21377602924054	6.6835584041886	594.133029113729	1.06494812979808e-20	1.13662733084219e-18
Zm00001eb433960	-1.73338282001516	5.08982518949145	593.830355311303	1.07239968059125e-20	1.13970987330921e-18
Zm00001eb198450	1.20071049009239	6.78120988637459	593.519032606823	1.08012238617695e-20	1.14305324554107e-18
Zm00001eb154380	1.7459831128575	5.00444458793835	584.334787196451	1.33695091383973e-20	1.40581789471045e-18
Zm00001eb101990	1.13546378795488	6.85368571717739	584.24770312874	1.33967831407843e-20	1.40581789471045e-18
Zm00001eb248500	-1.44437817751855	5.42798272988157	583.011804685713	1.37903401830563e-20	1.44106169904532e-18
Zm00001eb185250	-1.29463423317376	5.93743320891563	582.63117082036	1.39140258168403e-20	1.44792831156495e-18
